epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,425.089,0.64262,1.43262,1.06146,0.84901,0.76518,0.86393,0.66581,0.75663,2.00926,1.20829,0.000659176,0.000659176,0.000659176
2,838.689,0.63164,1.00429,1.04382,0.75929,0.74291,0.8024,0.6308,0.76923,1.56729,1.23641,0.000888315,0.000888315,0.000888315
3,1248.52,0.60409,0.83546,1.03077,0.93213,0.88462,0.93924,0.80461,0.53907,0.96087,1.00443,0.000677453,0.000677453,0.000677453
