epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,423.215,0.65442,1.47157,1.0695,0.91745,0.59514,0.79245,0.54521,0.90363,2.50013,1.4718,0.000659176,0.000659176,0.000659176
2,840.087,0.70752,1.02688,1.08216,0.74703,0.7293,0.76114,0.52792,0.9784,1.71961,1.44837,0.00106333,0.00106333,0.00106333
3,1250.23,0.6656,0.84115,1.05243,0.84865,0.74917,0.83779,0.60756,0.9114,1.40052,1.31019,0.00120348,0.00120348,0.00120348
4,1662.36,0.62042,0.72937,1.03537,0.8648,0.80972,0.88496,0.6908,0.76416,0.99365,1.24591,0.000812,0.000812,0.000812
5,2078.26,0.5338,0.60718,0.9941,0.92956,0.8815,0.93293,0.77439,0.5864,0.74224,1.08385,0.000416,0.000416,0.000416
